id,country,confirmed,active,deaths,recovered,latitude,longitude,last_update,TYPE
18,US,402923,null,13007,22717,40,-100,1.59E+12,A
161,Spain,146690,83996,14673,48021,40.463667,-3.74922,1.59E+12,A
11,Italy,139422,95262,17669,26491,41.8719,12.5674,1.59E+12,C
7,France,110070,80204,10343,19523,46.2276,2.2137,1.59E+12,B
8,Germany,109329,71152,2096,36081,51.1657,10.4515,1.59E+12,B
4,China,82809,1905,3337,77567,30.5928,114.3055,1.59E+12,B
90,Iran,64586,30781,3993,29812,32.427908,53.688046,1.59E+12,B
17,United Kingdom,61455,54012,7109,334,55,-3,1.59E+12,B
173,Turkey,34109,31802,725,1582,38.9637,35.2433,1.59E+12,B
33,Belgium,23403,16482,2240,4681,50.8333,4.469936,1.59E+12,B
16,Switzerland,23248,12555,893,9800,46.8182,8.2275,1.59E+12,C
12,Netherlands,20678,18151,2255,272,52.3167,5.55,1.59E+12,A
3,Canada,17897,0,381,4047,60.001,-95.001,1.59E+12,B
40,Brazil,14275,13442,706,127,-14.235,-51.9253,1.59E+12,B
141,Portugal,13141,12565,380,196,39.3999,-8.2245,1.59E+12,A
2,Austria,12916,8131,273,4512,47.5162,14.5501,1.59E+12,B
98,"Korea, South",10384,3408,200,6776,35.907757,127.766922,1.59E+12,C
92,Israel,9404,8531,72,801,31.046051,34.851612,1.59E+12,B
14,Russia,8672,8029,63,580,61.524,105.3188,1.59E+12,B
15,Sweden,8419,7527,687,205,60.1282,18.6435,1.59E+12,B
13,Norway,6086,5953,101,32,60.472,8.4689,1.59E+12,B
1,Australia,6010,4880,50,1080,-25,133,1.59E+12,A
88,India,5749,5065,178,506,20.593684,78.96288,1.59E+12,B
10,Ireland,5709,5474,210,25,53.1424,-7.6921,1.59E+12,B
5,Denmark,5597,3617,218,1762,56,10,1.59E+12,B
51,Chile,5546,4383,48,1115,-35.6751,-71.543,1.59E+12,A
60,Czechia,5221,4889,99,233,49.8175,15.473,1.59E+12,C
140,Poland,5205,4824,159,222,51.9194,19.1451,1.59E+12,B
143,Romania,4761,4018,215,528,45.9432,24.9668,1.59E+12,B
94,Japan,4257,3542,93,622,36.204824,138.252924,1.59E+12,B
134,Pakistan,4196,3669,60,467,30.3753,69.3451,1.59E+12,B
113,Malaysia,4119,2567,65,1487,4.210484,101.975766,1.59E+12,C
65,Ecuador,3995,3635,220,140,-1.8312,-78.1834,1.59E+12,B
139,Philippines,3870,3592,182,96,12.879721,121.774017,1.59E+12,C
150,Saudi Arabia,3122,2450,41,631,23.885942,45.079162,1.59E+12,B
109,Luxembourg,3034,2488,46,500,49.8153,6.1296,1.59E+12,B
89,Indonesia,2956,2494,240,222,-0.7893,113.9213,1.59E+12,C
138,Peru,2954,1546,107,1301,-9.19,-75.0152,1.59E+12,A
119,Mexico,2785,2011,141,633,23.6345,-102.5528,1.59E+12,A
176,United Arab Emirates,2659,2408,12,239,23.424076,53.847818,1.59E+12,B
6,Finland,2487,2147,40,300,61.9241,25.7482,1.59E+12,B
152,Serbia,2447,2386,61,0,44.0165,21.0059,1.59E+12,B
168,Thailand,2369,1451,30,888,15.870032,100.992541,1.59E+12,C
135,Panama,2249,2174,59,16,8.538,-80.7821,1.59E+12,A
142,Qatar,2210,2026,6,178,25.3548,51.1839,1.59E+12,B
64,Dominican Republic,2111,1953,108,50,18.7357,-70.1627,1.59E+12,A
78,Greece,1884,1532,83,269,39.0742,21.8243,1.59E+12,B
52,Colombia,1780,1630,50,100,4.5709,-74.2973,1.59E+12,A
159,South Africa,1749,1641,13,95,-30.5595,22.9375,1.59E+12,B
25,Argentina,1715,1314,63,338,-38.4161,-63.6167,1.59E+12,A
175,Ukraine,1668,1581,52,35,48.3794,31.1656,1.59E+12,B
155,Singapore,1623,1211,6,406,1.2833,103.8333,1.59E+12,C
9,Iceland,1616,977,6,633,64.9631,-19.0208,1.59E+12,B
21,Algeria,1572,1130,205,237,28.0339,1.6596,1.59E+12,C
66,Egypt,1450,1080,94,276,26.820553,30.802498,1.59E+12,B
57,Croatia,1343,1145,19,179,45.1,15.2,1.59E+12,B
124,Morocco,1242,1054,91,97,31.7917,-7.0926,1.59E+12,B
128,New Zealand,1210,927,1,282,-40.9006,174.886,1.59E+12,A
91,Iraq,1202,681,69,452,33.223191,43.679291,1.59E+12,B
70,Estonia,1185,1089,24,72,58.5953,25.0136,1.59E+12,B
120,Moldova,1174,1107,27,40,47.4116,28.3699,1.59E+12,B
157,Slovenia,1091,931,40,120,46.1512,14.9955,1.59E+12,B
32,Belarus,1066,976,13,77,53.7098,27.9534,1.59E+12,B
108,Lithuania,912,889,15,8,55.1694,23.8813,1.59E+12,B
87,Hungary,895,743,58,94,47.1625,19.5033,1.59E+12,B
26,Armenia,881,758,9,114,40.0691,45.0382,1.59E+12,B
